"TASMSOL"
.ALTWILD

SETPTB ""			01		1		 NOP 		 1
PAGEMAP ""			02		1		 NOP 		 1
STORE ""			03		1		 NOP 		 1
LOAD ""			04		1		 NOP 		 1
SYSCALL U8			05		2		 NOP 		 1
SYSRET ""			06		1		 NOP 		 1
CALL [A+I16]			07FD		4		 NOP 		 1
CALL U16			07		3		 NOP 		 1
SUPCOPY ""			08FD		2		 NOP 		 1
CALL A			08		1		 NOP 		 1
SUPSTART ""			09FD		2		 NOP 		 1
RET			09		1		 NOP 		 1
JMP [U16+AL]			0AFD		4		 NOP 		 1
JMP U16			0A		3		 NOP 		 1
JMP [U16+BL]			0BFD		4		 NOP 		 1
JMP A			0B		1		 NOP 		 1
STI ""			0CFD		2		 NOP 		 1
LODSTAT ""			0C		1		 NOP 		 1
CLI			0DFD		2		 NOP 		 1
STOSTAT ""			0D		1		 NOP 		 1
LODMSKS ""			0EFD		2		 NOP 		 1
LODFLGS ""			0E		1		 NOP 		 1
STOMSKS ""			0FFD		2		 NOP 		 1
STOFLGS ""			0F		1		 NOP 		 1

CLA ""			10FD		2		 NOP 		 1
MOV A,I16			10		3		 NOP 		 1
MOV A,PC			11FD		2		 NOP 		 1
MOV A,B			11		1		 NOP 		 1
MOV A,G			12FD		2		 NOP 		 1
MOV A,C			12		1		 NOP 		 1
MOV A,D			13		1		 NOP 		 1
MOV A,[U16]			14		3		 NOP 		 1
MOV A,[D]			15		1		 NOP 		 1
MOV A,[D+I16]			16		3		 NOP 		 1
MOV A,[SP+I16]			17FD		4		 NOP 		 1
MOV A,[BP+I16]			17		3		 NOP 		 1
MOV A,[SP+D]			18FD		2		 NOP 		 1
MOV A,[BP+D]			18		1		 NOP 		 1
MOV AL,I8			19		2		 NOP 		 1
MOV AL,GL			1AFD		2		 NOP 		 1
MOV AL,AH			1A		1		 NOP 		 1
MOV AL,GH			1BFD		2		 NOP 		 1
MOV AL,BL			1B		1		 NOP 		 1
MOV AL,BH			1C		1		 NOP 		 1
MOV AL,[U16]			1D		3		 NOP 		 1
MOV AL,[D]			1E		1		 NOP 		 1
MOV AL,[D+I16]			1F		3		 NOP 		 1

MOV AL,[SP+I16]			20FD		4		 NOP 		 1
MOV AL,[BP+I16]			20		3		 NOP 		 1
MOV AL,[SP+D]			21FD		2		 NOP 		 1
MOV AL,[BP+D]			21		1		 NOP 		 1
MOV AH,I8			22		2		 NOP 		 1
MOV AH,GL			23FD		2		 NOP 		 1
MOV AH,AL			23		1		 NOP 		 1
MOV AH,GH			24FD		2		 NOP 		 1
MOV AH,BL			24		1		 NOP 		 1
MOV AH,BH			25		1		 NOP 		 1
MOV B,I16			26		3		 NOP 		 1
MOV B,G			27FD		2		 NOP 		 1
MOV B,A			27		1		 NOP 		 1
MOV B,C			28		1		 NOP 		 1
MOV B,[U16]			29		3		 NOP 		 1
MOV B,[D]			2A		1		 NOP 		 1
MOV B,[D+I16]			2B		3		 NOP 		 1
MOV B,[SP+I16]			2CFD		4		 NOP 		 1
MOV B,[BP+I16]			2C		3		 NOP 		 1
MOV B,D			2D		1		 NOP 		 1
MOV BL,I8			2E		2		 NOP 		 1
MOV BL,GL			2FFD		2		 NOP 		 1
MOV BL,AL			2F		1		 NOP 		 1

MOV BL,GH			30FD		2		 NOP 		 1
MOV BL,AH			30		1		 NOP 		 1
MOV BL,[U16]			31		3		 NOP 		 1
MOV BL,[D]			32		1		 NOP 		 1
MOV BL,[D+I16]			33		3		 NOP 		 1
MOV BL,[SP+I16]			34FD		4		 NOP 		 1
MOV BL,[BP+I16]			34		3		 NOP 		 1
MOV BL,[SP+D]			35FD		2		 NOP 		 1
MOV BL,[BP+D]			35		1		 NOP 		 1
MOV BH,GL			36FD		2		 NOP 		 1
MOV BH,AL			36		1		 NOP 		 1
MOV BH,GH			37FD		2		 NOP 		 1
MOV BH,BL			37		1		 NOP 		 1
MOV C,G			38FD		2		 NOP 		 1
MOV C,U16			38		3		 NOP 		 1
MOV C,B			39FD		2		 NOP 		 1
MOV C,A			39		1		 NOP 		 1
MOV CL,GL			3AFD		2		 NOP 		 1
MOV CL,U8			3A		2		 NOP 		 1
MOV D,G			3BFD		2		 NOP 		 1
MOV D,U16			3B		3		 NOP 		 1
MOV D,C			3CFD		2		 NOP 		 1
MOV D,A			3C		1		 NOP 		 1
MOV [U16],BL			3DFD		4		 NOP 		 1
MOV [U16],AL			3D		3		 NOP 		 1
MOV [D],BL			3EFD		2		 NOP 		 1
MOV [D],AL			3E		1		 NOP 		 1
MOV [D+ I16],BL			3FFD		4		 NOP 		 1
MOV [D+ I16],AL			3F		3		 NOP 		 1

MOV [SP+I16],AL			40FD		4		 NOP 		 1
MOV [BP+I16],AL			40		3		 NOP 		 1
MOV [SP+D],AL			41FD		2		 NOP 		 1
MOV [BP+D],AL			41		1		 NOP 		 1
MOV [U16],B			42FD		4		 NOP 		 1
MOV [U16],A			42		3		 NOP 		 1
MOV [D],B			43FD		2		 NOP 		 1
MOV [D],A			43		1		 NOP 		 1
MOV [D+I16],B			44FD		4		 NOP 		 1
MOV [D+I16],A			44		3		 NOP 		 1
